experiment_id,description,dataset,method,resolution,status,priority
C3D1_channel_baseline_128,Channel flow baseline model,channel3d,baseline,64x64x64,ready,high
C3D2_channel_mc_dropout_128,Channel flow MC Dropout model,channel3d,mc_dropout,64x64x64,ready,high
C3D3_channel_ensemble_128,Channel flow ensemble model,channel3d,ensemble,64x64x64,ready,high
C3D4_channel_variational_128,Channel flow variational model,channel3d,variational,64x64x64,ready,high
C3D5_channel_swag_128,Channel flow SWAG model,channel3d,swag,64x64x64,ready,high
C3D6_channel_physics_informed_128,Channel flow physics-informed model,channel3d,physics_informed,64x64x64,ready,high
